n,Runtime
38500,0.25222662
38550,0.236809752
38600,0.236061224
38650,0.237454748
38700,0.240959164
38750,0.241323656
38800,0.240458896
38850,0.237858428
38900,0.238549604
38950,0.23389526
39000,0.235997136
39050,0.237635568
39100,0.235590976
39150,0.240933888
39200,0.237451164
39250,0.245267348
39300,0.240389468
39350,0.242445124
39400,0.252548092
39450,0.243762116
39500,0.238473568
39550,0.24014622
39600,0.244566836
39650,0.242901044
39700,0.244460596
39750,0.245532928
39800,0.243940576
39850,0.244815412
39900,0.246488668
39950,0.24472668
40000,0.248009112
40050,0.24633774
40100,0.244983708
40150,0.244394068
40200,0.243667976
40250,0.250541204
40300,0.249882952
40350,0.247073028
40400,0.247636884
40450,0.249676384
40500,0.24777192
40550,0.245270632
40600,0.252497668
40650,0.251895076
40700,0.24989978
40750,0.250680496
40800,0.255987088
40850,0.25446614
40900,0.25644744
40950,0.266363976
41000,0.255493852
41050,0.25531384
41100,0.271273212
41150,0.280152536
41200,0.27005462
41250,0.274723264
41300,0.272239136
41350,0.287872424
41400,0.26785074
41450,0.26267438
41500,0.265359716
41550,0.264959196
41600,0.268347668
41650,0.260217204
41700,0.266356364
41750,0.259886272
41800,0.261043696
41850,0.260729428
41900,0.268903332
41950,0.26146162
42000,0.262114688
42050,0.26505758
42100,0.266582576
42150,0.266607412
42200,0.269300376
42250,0.263674376
42300,0.264647724
42350,0.275369616
42400,0.279690276
42450,0.26629144
42500,0.269827332
42550,0.282722264
42600,0.276783244
42650,0.281956512
42700,0.278972756
42750,0.278263408
42800,0.280943256
42850,0.283025708
42900,0.283844672
42950,0.287487764
43000,0.287253628
43050,0.275379808
43100,0.267743044
43150,0.266267616
43200,0.271924188
43250,0.268186444
43300,0.273779788
43350,0.270206
43400,0.266632036
43450,0.273464344
43500,0.271550024
43550,0.270193464
43600,0.273596384
43650,0.271122612
43700,0.275115572
43750,0.272394228
43800,0.276363924
43850,0.268454708
43900,0.286960012
43950,0.280299604
44000,0.276275764
44050,0.30388478
44100,0.273313376
44150,0.275171912
44200,0.283419712
44250,0.27895612
44300,0.280520736
44350,0.281155664
44400,0.287153832
44450,0.282651424
44500,0.284887232
44550,0.286382172
44600,0.283765588
44650,0.28223282
44700,0.289646024
44750,0.293906824
44800,0.28980862
44850,0.289054968
44900,0.285414912
44950,0.28315706
45000,0.290353288
45050,0.288637612
45100,0.287499
45150,0.288653192
45200,0.291849676
45250,0.282603772
45300,0.289403944
45350,0.290607624
45400,0.287719356
45450,0.2924601
45500,0.288827344
45550,0.296239504
45600,0.29618146
45650,0.2919024
45700,0.293664824
45750,0.301373836
45800,0.296209472
45850,0.293915128
45900,0.295243324
45950,0.297604276
46000,0.301534768
46050,0.300891972
46100,0.296899092
46150,0.2936192
46200,0.293415868
46250,0.287025264
46300,0.291257
46350,0.294526448
46400,0.294186968
46450,0.299956436
46500,0.296790312
46550,0.296936848
46600,0.299420712
46650,0.297580336
46700,0.29295312
46750,0.2935934
46800,0.30380122
46850,0.303527908
46900,0.31608662
46950,0.312420068
47000,0.301829736
47050,0.300762088
47100,0.308612124
47150,0.302089316
47200,0.306893724
47250,0.300582596
47300,0.300538068
47350,0.306300912
47400,0.299941172
47450,0.301147168
47500,0.301147232
47550,0.298206988
47600,0.301884364
47650,0.292520492
47700,0.293980208
47750,0.30437886
47800,0.303652284
47850,0.297709428
47900,0.298242136
47950,0.302071548
48000,0.301248608
48050,0.305578976
48100,0.301810576
48150,0.300309884
48200,0.29603916
48250,0.311679312
48300,0.302228216
48350,0.304853684
48400,0.307004984
48450,0.305830976
48500,0.306093876
48550,0.305363184
48600,0.30841336
48650,0.30778236
48700,0.306865364
48750,0.308681896
48800,0.306904004
48850,0.309636444
48900,0.30638508
48950,0.30768456
49000,0.310198352
49050,0.310631104
49100,0.311218416
49150,0.308587292
49200,0.312805492
49250,0.305181948
49300,0.308979448
49350,0.314210256
49400,0.317052156
49450,0.314600348
49500,0.312808272
49550,0.320427688
49600,0.31538508
49650,0.316695068
49700,0.314430848
49750,0.314177064
49800,0.309380984
49850,0.313870268
49900,0.313119956
49950,0.313481324
50000,0.306556128
55000,0.340889828
60000,0.378797096
65000,0.414445448
70000,0.444623788
75000,0.484243264
80000,0.519392372
85000,0.553220624
90000,0.591253664
95000,0.629930684
100000,0.66459386
105000,0.690552276
110000,0.729910208
115000,0.770904884
120000,0.808430656
125000,0.840406172
130000,0.891010276
135000,0.916226996
140000,0.959864104
145000,0.998296996
150000,1.04845168
155000,1.07381388
160000,1.111288348
165000,1.149842392
170000,1.185657344
175000,1.2283519
180000,1.265085
185000,1.305520452
190000,1.335043676
195000,1.383626252
200000,1.417593248
205000,1.464619836
210000,1.516363492
215000,1.52959386
220000,1.582501136
225000,1.611908288
230000,1.656616256
235000,1.693514008
240000,1.737090068
245000,1.778266784
250000,1.813494652
255000,1.849387696
260000,1.886576624
265000,1.947797608
270000,1.965970756
275000,1.995035356
280000,2.08045928
285000,2.098468484
290000,2.119765716
295000,2.177211348
300000,2.221901852
305000,2.280723884
310000,2.306609436
315000,2.354753144
320000,2.402361888
325000,2.441075588
330000,2.466601748
335000,2.499656056
340000,2.548799528
345000,2.570144964
350000,2.608645864
355000,2.67217424
360000,2.717758504
365000,2.767853208
370000,2.817165264
375000,2.874988008
380000,2.886128184
385000,2.935280956
390000,2.981804232
395000,3.062736904
400000,3.082873144
405000,3.093032084
410000,3.13444852
415000,3.217459544
420000,3.222017832
425000,3.284687016
430000,3.271424612
435000,3.448417772
440000,3.510301104
445000,3.525113456
450000,3.5579336
455000,3.617323964
460000,3.679502376
465000,3.72277876
470000,3.777992964
475000,3.805009736
480000,3.830908068
485000,3.86781694
490000,3.975040176
495000,3.947076384
